"UniRef50_P07900" "species"
"MMETSP0272" 130.9 "Scrippsiella trochoidea"
"MMETSP0806" 136.3 "Prasinoderma coloniale"
"MMETSP0807" 136.3 "Picocystis salinarum"
"MMETSP0941" 136.3 "Prasinococcus capsulatus"
"MMETSP1390" 136.3 "Micromonas sp."
"MMETSP1393" 136.3 "Micromonas sp"
"MMETSP1399" 136.3 "Bathycoccus prasinos"
"MMETSP1400" 136.3 "Micromonas sp."
"MMETSP1401" 136.3 "Micromonas pusilla"
"MMETSP1402" 136.3 "Micromonas pusilla"
"MMETSP1122" 144.1 "Symbiodinium sp."
"MMETSP0906" 144.3 "Fragilariopsis kerguelensis"
"MMETSP0186" 147.5 "Minchinia chitonis"
"MMETSP0372" 147.5 "Lankesteria abbottii"
"MMETSP0852" 150.2 "Pseudo-nitzschia fraudulenta"
"MMETSP1017" 151.8 "Karlodinium micrum"
"MMETSP1105" 168.8 "Ochromonas sp."
"MMETSP0140" 179.6 "Pseudo-nitzschia australis"
"MMETSP1391" 183.5 "Chlamydomonas leiostraca"
"MMETSP0850" 185.9 "Pseudo-nitzschia fraudulenta"
"MMETSP0752" 197.8 "Chaetoceros neogracile"
"MMETSP1381" 200.2 "Pavlova sp."
"MMETSP0754" 205.8 "Chaetoceros neogracile"
"MMETSP0405" 209 "Trichosphaerium sp"
"MMETSP0413" 209 "Filamoeba nolandi"
"MMETSP0417" 209 "Mayorella sp"
"MMETSP0420" 209 "Pessonella sp."
"MMETSP0201" 221.3 "Karenia brevis"
"MMETSP0954" 222.6 "Aplanochytrium sp"
"MMETSP0971" 224.8 "Thalassiosira oceanica"
"MMETSP1016" 226.3 "Karlodinium micrum"
"MMETSP0736" 241.4 "Fragilariopsis kerguelensis"
"MMETSP0992" 247.1 "non described non described"
"MMETSP0167" 253.9 "Rhodella maculata"
"MMETSP0816" 253.9 "Proboscia inermis"
"MMETSP0751" 254.1 "Chaetoceros neogracile"
"MMETSP1037" 261.8 "Azadinium spinosum"
"MMETSP0706" 270 "Asterionellopsis glacialis"
"MMETSP0708" 270 "Asterionellopsis glacialis"
"MMETSP0139" 275.3 "Pseudo-nitzschia australis"
"MMETSP0190" 281.5 "Rosalina sp."
"MMETSP0097" 282.5 "Alexandrium monilatum"
"MMETSP0991" 290.9 "non described non described"
"MMETSP0360" 293.5 "Scrippsiella Hangoei"
"MMETSP0327" 294.1 "Pseudo-nitzschia delicatissima"
"MMETSP0055" 313.2 "Prorocentrum minimum"
"MMETSP0887" 325.9 "Pelagomonas calceolata "
"MMETSP0888" 325.9 "Pelagomonas calceolata "
"MMETSP0889" 325.9 "Pelagomonas calceolata "
"MMETSP0907" 329.8 "Fragilariopsis kerguelensis"
"MMETSP1126" 336.8 "Dunaliella tertiolecta"
"MMETSP1138" 336.8 "Pleurochrysis carterae"
"MMETSP1129" 342.4 "Isochrysis sp."
"MMETSP0882" 349.3 "Pelagococcus subviridis"
"MMETSP0883" 349.3 "Pelagococcus subviridis"
"MMETSP0884" 349.3 "Pelagococcus subviridis"
"MMETSP0885" 349.3 "Pelagococcus subviridis"
"MMETSP1132" 351.2 "Isochrysis sp."
"MMETSP0696" 356.1 "Extubocellulus spinifer"
"MMETSP0886" 363.6 "Pelagomonas calceolata "
"MMETSP0733" 369.9 "Fragilariopsis kerguelensis"
"MMETSP0990" 379.3 "non described non described"
"MMETSP0368" 395 "Scrippsiella hangoei-like"
"MMETSP0119" 399.2 "Glenodinium foliaceum"
"MMETSP0038" 405.2 "Cryptomonas paramecium"
"MMETSP0047" 405.2 "Chroomonas mesostigmatica_cf"
"MMETSP0943" 414.9 "Isochrysis galbana"
"MMETSP1175" 421.4 "Triceratium dubium"
"MMETSP1101" 421.6 "Rhodomonas abbreviata"
"MMETSP0369" 430.4 "Scrippsiella hangoei-like"
"MMETSP0403" 435.1 "Thalassiosira rotula"
"MMETSP0970" 435.1 "Thalassiosira oceanica"
"MMETSP1338" 435.9 "Pelagodinium beii"
"MMETSP0019" 458 "Dinobryon sp."
"MMETSP1436" 465.5 "Alexandrium andersonii"
"MMETSP0562" 486.7 "Skeletonema dohrnii"
"MMETSP0367" 496.6 "Scrippsiella hangoei-like"
"MMETSP0156" 505.9 "Thalassionema nitzschioides"
"MMETSP0908" 506.9 "Fragilariopsis kerguelensis"
"MMETSP0471" 514.4 "Oxyrrhis marina"
"MMETSP1083" 514.8 "Prymnesium parvum"
"MMETSP1348" 527.1 "Aplanochytrium stocchinoi"
"MMETSP0216" 536.2 "Protocruzia adherens"
"MMETSP0198" 542.2 "Thraustochytrium sp."
"MMETSP0053" 558.9 "Prorocentrum minimum"
"MMETSP0467" 560.1 "Mesodinium pulex"
"MMETSP0914" 570.5 "Aureococcus anophagefferens"
"MMETSP0915" 570.5 "Aureococcus anophagefferens"
"MMETSP0917" 570.5 "Aureococcus anophagefferens"
"MMETSP1015" 570.7 "Karlodinium micrum"
"MMETSP0802" 578.6 "Micromonas sp."
"MMETSP0057" 635.7 "Prorocentrum minimum"
"MMETSP1136" 655.9 "Pleurochrysis carterae"
"MMETSP0689" 662.3 "Amphidinium massartii"
"MMETSP1125" 717 "Symbiodinium sp."
"MMETSP0804" 726.1 "Tetraselmis astigmatica"
"MMETSP1426" 738.7 "Oxyrrhis marina"
"MMETSP0784" 746.5 "Gymnodinium catenatum"
"MMETSP1115" 798.6 "Symbiodinium sp."
"MMETSP1080" 829.2 "Micromonas sp"
"MMETSP1346" 833 "Aplanochytrium stocchinoi"
"MMETSP0259" 856.6 "Amphidinium carterae"
"MMETSP0258" 868.8 "Amphidinium carterae"
"MMETSP0228" 871.5 "Protoceratium reticulatum"
"MMETSP0004" 876.2 "Ochromonas sp."
"MMETSP0174" 948.2 "Proboscia alata"
"MMETSP1349" 995.5 "Aplanochytrium stocchinoi"
"MMETSP1137" 1031 "Pleurochrysis carterae"
"MMETSP0503" 1052 "Heterocapsa rotundata"
"MMETSP0095" 1080 "Alexandrium monilatum"
"MMETSP1462" 1174 "Brandtodinium nutriculum"
"MMETSP1440" 1244 "Polarella glacialis"
"MMETSP1107" 1280 "Paraphysomonas vestita"
"MMETSP1123" 1315 "Symbiodinium sp."
"MMETSP0191" 1332 "Sorites sp."
"MMETSP0123" 1363 "Favella ehrenbergii"
"MMETSP1177" 1409 "Ochromonas sp"
"MMETSP0463" 1418 "Strombidinopsis sp"
"MMETSP0790" 1533 "Alexandrium catenella"
"MMETSP0449" 1738 "Strombidium rassoulzadegani"
"MMETSP1452" 1740 "Synchroma pusillum"
"MMETSP0468" 1900 "Oxyrrhis marina"
"MMETSP0224" 1940 "Togula jolla"
"MMETSP1060" 1970 "Pseudo-nitzschia pungens"
"MMETSP0152" 1972 "Thalassiothrix antarctica"
"MMETSP0253" 2033 "Noctiluca scintillans"
"MMETSP1347" 2065 "Aplanochytrium stocchinoi"
"MMETSP1395" 2330 "Blepharisma japonicum"
"MMETSP1441" 2381 "Heterocapsa arctica"
"MMETSP1344" 4666 "Florenciella parvula"
"MMETSP1007" 4907 "Emiliania huxleyi"
"MMETSP0378" 4971 "Alexandrium tamarense"
"MMETSP0058" 6552 "Pyramimonas parkeae"
"MMETSP0059" 6552 "Pyramimonas parkeae"
"MMETSP1009" 6990 "Emiliania huxleyi"
"MMETSP1439" 7401 "Gonyaulax spinifera"
"MMETSP1333" 9845 "Scyphosphaera apsteinii"
"MMETSP0894" 15470 "Heterosigma akashiwo"
"MMETSP0896" 15480 "Heterosigma akashiwo"
"MMETSP0897" 15920 "Heterosigma akashiwo"
"MMETSP0347" 30000 "Alexandrium fundyense"
"MMETSP1147" 52040 "Lessardia elongata"
"MMETSP0196" 75910 "Alexandrium fundyense"
