Human Chimpanzee Gorilla Orangutan Macaque
ENSG00000105428 ENSPTRG00000010331 ENSGGOG00000002709 ENSPPYG00000009425 ENSMMUG00000012312
ENSG00000115353 ENSPTRG00000012106 ENSGGOG00000001538 ENSPPYG00000012257 ENSMMUG00000001846
ENSG00000103769 ENSPTRG00000007188 ENSGGOG00000014252 ENSPPYG00000006573 ENSMMUG00000008006
ENSG00000131408 ENSPTRG00000011337 ENSGGOG00000005607 ENSPPYG00000010280 ENSMMUG00000023418
ENSG00000165076 ENSPTRG00000019781 ENSGGOG00000010592 ENSPPYG00000018071 ENSMMUG00000011844
ENSG00000140379 ENSPTRG00000007359 ENSGGOG00000006077 ENSPPYG00000006711 ENSMMUG00000003364
ENSG00000184619 ENSPTRG00000008741 ENSGGOG00000025913 ENSPPYG00000007961 ENSMMUG00000008754
ENSG00000180061 ENSPTRG00000011497 ENSGGOG00000000490 ENSPPYG00000010411 ENSMMUG00000028716
ENSG00000164663 ENSPTRG00000018161 ENSGGOG00000016566 ENSPPYG00000016604 ENSMMUG00000012421
ENSG00000161940 ENSPTRG00000008656 ENSGGOG00000009787 ENSPPYG00000007891 ENSMMUG00000016268
ENSG00000020426 ENSPTRG00000006412 ENSGGOG00000009127 ENSPPYG00000005876 ENSMMUG00000001642
ENSG00000188505 ENSPTRG00000010953 ENSGGOG00000028030 ENSPPYG00000009956 ENSMMUG00000013906
ENSG00000111218 ENSPTRG00000004543 ENSGGOG00000010268 ENSPPYG00000004159 ENSMMUG00000014168
ENSG00000187773 ENSPTRG00000010113 ENSGGOG00000016066 ENSPPYG00000009242 ENSMMUG00000015702
ENSG00000169330 ENSPTRG00000007357 ENSGGOG00000012413 ENSPPYG00000006709 ENSMMUG00000000534
ENSG00000161509 ENSPTRG00000009619 ENSGGOG00000003299 ENSPPYG00000008606 ENSMMUG00000005744
ENSG00000196177 ENSPTRG00000003020 ENSGGOG00000003827 ENSPPYG00000002728 ENSMMUG00000000684
ENSG00000088992 ENSPTRG00000005504 ENSGGOG00000002737 ENSPPYG00000005003 ENSMMUG00000017478
ENSG00000168826 ENSPTRG00000015868 ENSGGOG00000013012 ENSPPYG00000014601 ENSMMUG00000023394
ENSG00000170925 ENSPTRG00000022167 ENSGGOG00000026711 ENSPPYG00000020616 ENSMMUG00000007185
ENSG00000189227 ENSPTRG00000030250 ENSGGOG00000004732 ENSPPYG00000006586 ENSMMUG00000020012
ENSG00000144451 ENSPTRG00000012885 ENSGGOG00000014047 ENSPPYG00000013141 ENSMMUG00000000382
ENSG00000163815 ENSPTRG00000014831 ENSGGOG00000004576 ENSPPYG00000013948 ENSMMUG00000019129
ENSG00000139910 ENSPTRG00000006229 ENSGGOG00000016495 ENSPPYG00000005714 ENSMMUG00000004271
ENSG00000117533 ENSPTRG00000001680 ENSGGOG00000023200 ENSPPYG00000000511 ENSMMUG00000023203
ENSG00000113303 ENSPTRG00000017644 ENSGGOG00000011944 ENSPPYG00000016142 ENSMMUG00000019858
ENSG00000180357 ENSPTRG00000007163 ENSGGOG00000000867 ENSPPYG00000006551 ENSMMUG00000001247
ENSG00000107643 ENSPTRG00000002478 ENSGGOG00000011771 ENSPPYG00000002246 ENSMMUG00000004060
ENSG00000214143 ENSPTRG00000034559 ENSGGOG00000013858 ENSPPYG00000008646 ENSMMUG00000029820
ENSG00000088538 ENSPTRG00000014969 ENSGGOG00000001027 ENSPPYG00000013834 ENSMMUG00000004273
ENSG00000130300 ENSPTRG00000010671 ENSGGOG00000006691 ENSPPYG00000009712 ENSMMUG00000002413
ENSG00000197959 ENSPTRG00000001684 ENSGGOG00000008692 ENSPPYG00000000507 ENSMMUG00000007273
ENSG00000143409 ENSPTRG00000001270 ENSGGOG00000001534 ENSPPYG00000000884 ENSMMUG00000010067
ENSG00000107618 ENSPTRG00000002473 ENSGGOG00000000272 ENSPPYG00000002240 ENSMMUG00000011909
ENSG00000196932 ENSPTRG00000002530 ENSGGOG00000003595 ENSPPYG00000002419 ENSMMUG00000014529
ENSG00000121594 ENSPTRG00000015256 ENSGGOG00000027712 ENSPPYG00000013514 ENSMMUG00000016367
ENSG00000108262 ENSPTRG00000008952 ENSGGOG00000017001 ENSPPYG00000008125 ENSMMUG00000014408
ENSG00000170613 ENSPTRG00000017463 ENSGGOG00000008998 ENSPPYG00000015985 ENSMMUG00000010994
ENSG00000182326 ENSPTRG00000004605 ENSGGOG00000001455 ENSPPYG00000004217 ENSMMUG00000012786
ENSG00000169282 ENSPTRG00000015559 ENSGGOG00000007488 ENSPPYG00000014232 ENSMMUG00000016968
ENSG00000154342 ENSPTRG00000002064 ENSGGOG00000006562 ENSPPYG00000000150 ENSMMUG00000004904
ENSG00000101464 ENSPTRG00000013418 ENSGGOG00000006437 ENSPPYG00000010939 ENSMMUG00000017682
ENSG00000105246 ENSPTRG00000010298 ENSGGOG00000011932 ENSPPYG00000009398 ENSMMUG00000010099
ENSG00000116406 ENSPTRG00000001773 ENSGGOG00000002852 ENSPPYG00000000419 ENSMMUG00000005410
ENSG00000168807 ENSPTRG00000008276 ENSGGOG00000007727 ENSPPYG00000007499 ENSMMUG00000016640
ENSG00000133265 ENSPTRG00000011495 ENSGGOG00000000484 ENSPPYG00000010409 ENSMMUG00000002964
ENSG00000124228 ENSPTRG00000013602 ENSGGOG00000015474 ENSPPYG00000011113 ENSMMUG00000023621
ENSG00000168067 ENSPTRG00000003847 ENSGGOG00000002968 ENSPPYG00000003096 ENSMMUG00000030597
ENSG00000120440 ENSPTRG00000018805 ENSGGOG00000014857 ENSPPYG00000017171 ENSMMUG00000005680
ENSG00000037897 ENSPTRG00000005150 ENSGGOG00000001411 ENSPPYG00000004706 ENSMMUG00000022148
ENSG00000083544 ENSPTRG00000005918 ENSGGOG00000025560 ENSPPYG00000005401 ENSMMUG00000007169
ENSG00000184481 ENSPTRG00000022004 ENSGGOG00000001812 ENSPPYG00000020444 ENSMMUG00000032429
ENSG00000136854 ENSPTRG00000021392 ENSGGOG00000013299 ENSPPYG00000019625 ENSMMUG00000016421
ENSG00000105993 ENSPTRG00000019922 ENSGGOG00000004703 ENSPPYG00000018228 ENSMMUG00000003176
ENSG00000204178 ENSPTRG00000029594 ENSGGOG00000007844 ENSPPYG00000001709 ENSMMUG00000018014
ENSG00000182264 ENSPTRG00000011255 ENSGGOG00000001242 ENSPPYG00000010212 ENSMMUG00000004019
ENSG00000011007 ENSPTRG00000000335 ENSGGOG00000015012 ENSPPYG00000001735 ENSMMUG00000003173
ENSG00000196504 ENSPTRG00000012543 ENSGGOG00000015592 ENSPPYG00000012854 ENSMMUG00000010812
ENSG00000014138 ENSPTRG00000003870 ENSGGOG00000003056 ENSPPYG00000003071 ENSMMUG00000022031
ENSG00000166340 ENSPTRG00000003299 ENSGGOG00000000398 ENSPPYG00000003535 ENSMMUG00000007745
ENSG00000163380 ENSPTRG00000015097 ENSGGOG00000015200 ENSPPYG00000013727 ENSMMUG00000008628
ENSG00000158545 ENSPTRG00000008456 ENSGGOG00000012514 ENSPPYG00000007639 ENSMMUG00000014323
ENSG00000204304 ENSPTRG00000018012 ENSGGOG00000002325 ENSPPYG00000016486 ENSMMUG00000018456
ENSG00000147010 ENSPTRG00000021723 ENSGGOG00000008333 ENSPPYG00000020173 ENSMMUG00000004744
ENSG00000079337 ENSPTRG00000004866 ENSGGOG00000016430 ENSPPYG00000004444 ENSMMUG00000000477
ENSG00000151176 ENSPTRG00000005490 ENSGGOG00000014649 ENSPPYG00000004989 ENSMMUG00000004205
ENSG00000173838 ENSPTRG00000009509 ENSGGOG00000003138 ENSPPYG00000008521 ENSMMUG00000002168
ENSG00000016490 ENSPTRG00000000922 ENSGGOG00000011756 ENSPPYG00000001187 ENSMMUG00000006836
ENSG00000177459 ENSPTRG00000020456 ENSGGOG00000001184 ENSPPYG00000018775 ENSMMUG00000011824
ENSG00000140464 ENSPTRG00000007266 ENSGGOG00000014823 ENSPPYG00000006631 ENSMMUG00000002569
ENSG00000108379 ENSPTRG00000009321 ENSGGOG00000007186 ENSPPYG00000008292 ENSMMUG00000020809
ENSG00000141198 ENSPTRG00000009421 ENSGGOG00000017131 ENSPPYG00000025942 ENSMMUG00000010550
ENSG00000118785 ENSPTRG00000016266 ENSGGOG00000005577 ENSPPYG00000015266 ENSMMUG00000008793
ENSG00000241058 ENSPTRG00000002340 ENSGGOG00000009321 ENSPPYG00000002131 ENSMMUG00000007451
ENSG00000205693 ENSPTRG00000029669 ENSGGOG00000002828 ENSPPYG00000004384 ENSMMUG00000032062
ENSG00000108666 ENSPTRG00000008988 ENSGGOG00000002514 ENSPPYG00000008160 ENSMMUG00000022379
ENSG00000170915 ENSPTRG00000024197 ENSGGOG00000012276 ENSPPYG00000016706 ENSMMUG00000013715
ENSG00000132952 ENSPTRG00000005756 ENSGGOG00000004673 ENSPPYG00000005543 ENSMMUG00000007597
ENSG00000114850 ENSPTRG00000015560 ENSGGOG00000024038 ENSPPYG00000014233 ENSMMUG00000016970
ENSG00000140848 ENSPTRG00000008147 ENSGGOG00000003932 ENSPPYG00000007380 ENSMMUG00000020350
ENSG00000124575 ENSPTRG00000017819 ENSGGOG00000007174 ENSPPYG00000016319 ENSMMUG00000022050
ENSG00000156398 ENSPTRG00000002898 ENSGGOG00000009385 ENSPPYG00000002609 ENSMMUG00000019834
ENSG00000101282 ENSPTRG00000013154 ENSGGOG00000006711 ENSPPYG00000010860 ENSMMUG00000031223
ENSG00000124787 ENSPTRG00000017690 ENSGGOG00000013764 ENSPPYG00000016194 ENSMMUG00000004966
ENSG00000123171 ENSPTRG00000005895 ENSGGOG00000011177 ENSPPYG00000005384 ENSMMUG00000004543
ENSG00000162341 ENSPTRG00000003992 ENSGGOG00000010594 ENSPPYG00000002962 ENSMMUG00000010784
ENSG00000173065 ENSPTRG00000008937 ENSGGOG00000016763 ENSPPYG00000008112 ENSMMUG00000021408
ENSG00000156675 ENSPTRG00000020164 ENSGGOG00000007027 ENSPPYG00000018515 ENSMMUG00000003213
ENSG00000110076 ENSPTRG00000003843 ENSGGOG00000003597 ENSPPYG00000003101 ENSMMUG00000022595
ENSG00000155111 ENSPTRG00000018500 ENSGGOG00000012779 ENSPPYG00000016923 ENSMMUG00000020637
ENSG00000101407 ENSPTRG00000013480 ENSGGOG00000012498 ENSPPYG00000010991 ENSMMUG00000018923
ENSG00000137857 ENSPTRG00000007029 ENSGGOG00000012320 ENSPPYG00000006441 ENSMMUG00000008752
ENSG00000165678 ENSPTRG00000002691 ENSGGOG00000011008 ENSPPYG00000002280 ENSMMUG00000018572
ENSG00000130751 ENSPTRG00000011199 ENSGGOG00000013398 ENSPPYG00000010165 ENSMMUG00000011330
ENSG00000141956 ENSPTRG00000013930 ENSGGOG00000011345 ENSPPYG00000011441 ENSMMUG00000018046
ENSG00000104221 ENSPTRG00000020163 ENSGGOG00000012892 ENSPPYG00000018514 ENSMMUG00000003212
ENSG00000181610 ENSPTRG00000009440 ENSGGOG00000016181 ENSPPYG00000025941 ENSMMUG00000001913
ENSG00000100823 ENSPTRG00000006093 ENSGGOG00000002128 ENSPPYG00000005565 ENSMMUG00000019123
ENSG00000180530 ENSPTRG00000013792 ENSGGOG00000012088 ENSPPYG00000011290 ENSMMUG00000023770
ENSG00000037749 ENSPTRG00000017443 ENSGGOG00000011060 ENSPPYG00000015972 ENSMMUG00000011989
ENSG00000133863 ENSPTRG00000020142 ENSGGOG00000027549 ENSPPYG00000018492 ENSMMUG00000020821
ENSG00000114742 ENSPTRG00000014765 ENSGGOG00000002185 ENSPPYG00000014001 ENSMMUG00000020138
ENSG00000117528 ENSPTRG00000000976 ENSGGOG00000009815 ENSPPYG00000001140 ENSMMUG00000014013
ENSG00000124126 ENSPTRG00000013594 ENSGGOG00000008023 ENSPPYG00000011107 ENSMMUG00000015072
ENSG00000133739 ENSPTRG00000020382 ENSGGOG00000022805 ENSPPYG00000018711 ENSMMUG00000006370
ENSG00000136999 ENSPTRG00000020531 ENSGGOG00000002777 ENSPPYG00000018841 ENSMMUG00000005631
ENSG00000139194 ENSPTRG00000004608 ENSGGOG00000011552 ENSPPYG00000004222 ENSMMUG00000008898
ENSG00000162437 ENSPTRG00000000824 ENSGGOG00000016447 ENSPPYG00000001271 ENSMMUG00000018565
ENSG00000189171 ENSPTRG00000022794 ENSGGOG00000016904 ENSPPYG00000000804 ENSMMUG00000008144
ENSG00000120210 ENSPTRG00000020748 ENSGGOG00000008771 ENSPPYG00000019242 ENSMMUG00000010856
ENSG00000133466 ENSPTRG00000014329 ENSGGOG00000001113 ENSPPYG00000011789 ENSMMUG00000018851
ENSG00000182196 ENSPTRG00000005590 ENSGGOG00000023526 ENSPPYG00000005079 ENSMMUG00000015930
ENSG00000130700 ENSPTRG00000013711 ENSGGOG00000000120 ENSPPYG00000011208 ENSMMUG00000017584
ENSG00000164291 ENSPTRG00000017084 ENSGGOG00000005782 ENSPPYG00000015640 ENSMMUG00000001209
ENSG00000196937 ENSPTRG00000022727 ENSGGOG00000016446 ENSPPYG00000017948 ENSMMUG00000002440
ENSG00000120708 ENSPTRG00000017264 ENSGGOG00000009517 ENSPPYG00000015807 ENSMMUG00000000332
ENSG00000164695 ENSPTRG00000020379 ENSGGOG00000016672 ENSPPYG00000018708 ENSMMUG00000002625
ENSG00000099139 ENSPTRG00000021033 ENSGGOG00000015095 ENSPPYG00000019301 ENSMMUG00000022023
ENSG00000135697 ENSPTRG00000008389 ENSGGOG00000000237 ENSPPYG00000007587 ENSMMUG00000000720
ENSG00000213892 ENSPTRG00000034050 ENSGGOG00000014530 ENSPPYG00000010094 ENSMMUG00000010037
ENSG00000104043 ENSPTRG00000007061 ENSGGOG00000015212 ENSPPYG00000006465 ENSMMUG00000003684
ENSG00000182985 ENSPTRG00000004310 ENSGGOG00000010219 ENSPPYG00000003899 ENSMMUG00000021628
ENSG00000172113 ENSPTRG00000014882 ENSGGOG00000006072 ENSPPYG00000013908 ENSMMUG00000003078
ENSG00000165280 ENSPTRG00000020900 ENSGGOG00000003197 ENSPPYG00000019105 ENSMMUG00000020190
ENSG00000135049 ENSPTRG00000021066 ENSGGOG00000007838 ENSPPYG00000019333 ENSMMUG00000008801
ENSG00000196151 ENSPTRG00000012562 ENSGGOG00000015737 ENSPPYG00000012871 ENSMMUG00000006181
ENSG00000169515 ENSPTRG00000011182 ENSGGOG00000016630 ENSPPYG00000010150 ENSMMUG00000003190
ENSG00000070193 ENSPTRG00000016853 ENSGGOG00000004647 ENSPPYG00000015444 ENSMMUG00000015527
ENSG00000129255 ENSPTRG00000008696 ENSGGOG00000026489 ENSPPYG00000007928 ENSMMUG00000013503
ENSG00000149823 ENSPTRG00000003863 ENSGGOG00000002704 ENSPPYG00000003080 ENSMMUG00000018772
ENSG00000075089 ENSPTRG00000005341 ENSGGOG00000000854 ENSPPYG00000004864 ENSMMUG00000023603
ENSG00000198125 ENSPTRG00000023553 ENSGGOG00000011478 ENSPPYG00000012049 ENSMMUG00000005034
ENSG00000016402 ENSPTRG00000018640 ENSGGOG00000000380 ENSPPYG00000017037 ENSMMUG00000013566
ENSG00000171004 ENSPTRG00000022281 ENSGGOG00000014140 ENSPPYG00000020727 ENSMMUG00000004198
ENSG00000083457 ENSPTRG00000008576 ENSGGOG00000007471 ENSPPYG00000007821 ENSMMUG00000030386
ENSG00000143793 ENSPTRG00000002067 ENSGGOG00000015702 ENSPPYG00000000147 ENSMMUG00000002791
ENSG00000056487 ENSPTRG00000014489 ENSGGOG00000008097 ENSPPYG00000011927 ENSMMUG00000001580
ENSG00000163602 ENSPTRG00000015105 ENSGGOG00000024207 ENSPPYG00000013718 ENSMMUG00000007128
ENSG00000176095 ENSPTRG00000014933 ENSGGOG00000010636 ENSPPYG00000013863 ENSMMUG00000014589
ENSG00000111252 ENSPTRG00000005459 ENSGGOG00000003254 ENSPPYG00000004962 ENSMMUG00000002223
ENSG00000185585 ENSPTRG00000021359 ENSGGOG00000004100 ENSPPYG00000019601 ENSMMUG00000011183
ENSG00000130775 ENSPTRG00000000419 ENSGGOG00000009217 ENSPPYG00000001652 ENSMMUG00000018170
ENSG00000100206 ENSPTRG00000014370 ENSGGOG00000011215 ENSPPYG00000011822 ENSMMUG00000013298
ENSG00000089195 ENSPTRG00000013231 ENSGGOG00000008597 ENSPPYG00000010691 ENSMMUG00000013728
ENSG00000132824 ENSPTRG00000013522 ENSGGOG00000015400 ENSPPYG00000011035 ENSMMUG00000013969
ENSG00000118322 ENSPTRG00000017493 ENSGGOG00000006109 ENSPPYG00000016010 ENSMMUG00000012643
ENSG00000184166 ENSPTRG00000008555 ENSGGOG00000012730 ENSPPYG00000007800 ENSMMUG00000012823
ENSG00000082397 ENSPTRG00000009844 ENSGGOG00000012450 ENSPPYG00000009024 ENSMMUG00000019418
ENSG00000142065 ENSPTRG00000010893 ENSGGOG00000013664 ENSPPYG00000010535 ENSMMUG00000021686
ENSG00000106246 ENSPTRG00000019452 ENSGGOG00000015123 ENSPPYG00000017377 ENSMMUG00000030408
ENSG00000089327 ENSPTRG00000010833 ENSGGOG00000005263 ENSPPYG00000009852 ENSMMUG00000023207
ENSG00000105447 ENSPTRG00000011236 ENSGGOG00000013449 ENSPPYG00000010199 ENSMMUG00000001791
ENSG00000168286 ENSPTRG00000008247 ENSGGOG00000013846 ENSPPYG00000007471 ENSMMUG00000013240
ENSG00000158485 ENSPTRG00000001500 ENSGGOG00000005349 ENSPPYG00000000681 ENSMMUG00000016783
ENSG00000149218 ENSPTRG00000004191 ENSGGOG00000024775 ENSPPYG00000003787 ENSMMUG00000007637
ENSG00000173821 ENSPTRG00000009744 ENSGGOG00000010175 ENSPPYG00000008719 ENSMMUG00000005455
ENSG00000101144 ENSPTRG00000013656 ENSGGOG00000003803 ENSPPYG00000011157 ENSMMUG00000004074
ENSG00000139357 ENSPTRG00000005348 ENSGGOG00000004017 ENSPPYG00000004870 ENSMMUG00000015134
ENSG00000148468 ENSPTRG00000002320 ENSGGOG00000005087 ENSPPYG00000002115 ENSMMUG00000015286
ENSG00000166816 ENSPTRG00000008353 ENSGGOG00000010634 ENSPPYG00000007555 ENSMMUG00000022037
ENSG00000149506 ENSPTRG00000003723 ENSGGOG00000013678 ENSPPYG00000003203 ENSMMUG00000000022
ENSG00000130177 ENSPTRG00000006072 ENSGGOG00000015411 ENSPPYG00000005535 ENSMMUG00000007439
ENSG00000136155 ENSPTRG00000005944 ENSGGOG00000001153 ENSPPYG00000005426 ENSMMUG00000000048
ENSG00000124116 ENSPTRG00000013562 ENSGGOG00000004633 ENSPPYG00000011069 ENSMMUG00000021021
ENSG00000109171 ENSPTRG00000016042 ENSGGOG00000012594 ENSPPYG00000014717 ENSMMUG00000021719
ENSG00000011454 ENSPTRG00000021342 ENSGGOG00000003890 ENSPPYG00000019586 ENSMMUG00000000670
ENSG00000148218 ENSPTRG00000021279 ENSGGOG00000006979 ENSPPYG00000019521 ENSMMUG00000031965
ENSG00000185246 ENSPTRG00000006304 ENSGGOG00000013952 ENSPPYG00000005776 ENSMMUG00000010862
ENSG00000103061 ENSPTRG00000008264 ENSGGOG00000001565 ENSPPYG00000007487 ENSMMUG00000002065
ENSG00000073067 ENSPTRG00000022861 ENSGGOG00000012679 ENSPPYG00000017291 ENSMMUG00000007204
ENSG00000167491 ENSPTRG00000010739 ENSGGOG00000005973 ENSPPYG00000009769 ENSMMUG00000003164
ENSG00000090006 ENSPTRG00000011002 ENSGGOG00000010783 ENSPPYG00000009997 ENSMMUG00000020798
ENSG00000196476 ENSPTRG00000023071 ENSGGOG00000006604 ENSPPYG00000010872 ENSMMUG00000017286
ENSG00000165801 ENSPTRG00000006113 ENSGGOG00000007165 ENSPPYG00000005589 ENSMMUG00000006457
ENSG00000179348 ENSPTRG00000015355 ENSGGOG00000006156 ENSPPYG00000013434 ENSMMUG00000021371
ENSG00000119705 ENSPTRG00000030691 ENSGGOG00000011059 ENSPPYG00000006030 ENSMMUG00000029256
ENSG00000170430 ENSPTRG00000003057 ENSGGOG00000016674 ENSPPYG00000002765 ENSMMUG00000011446
ENSG00000116285 ENSPTRG00000000103 ENSGGOG00000006424 ENSPPYG00000001924 ENSMMUG00000019256
ENSG00000081181 ENSPTRG00000006467 ENSGGOG00000005615 ENSPPYG00000005926 ENSMMUG00000015865
ENSG00000143799 ENSPTRG00000002049 ENSGGOG00000006308 ENSPPYG00000000164 ENSMMUG00000021820
ENSG00000129315 ENSPTRG00000004883 ENSGGOG00000013082 ENSPPYG00000004465 ENSMMUG00000007629
ENSG00000124789 ENSPTRG00000017752 ENSGGOG00000014261 ENSPPYG00000016259 ENSMMUG00000001993
ENSG00000109089 ENSPTRG00000009626 ENSGGOG00000012329 ENSPPYG00000008613 ENSMMUG00000011643
ENSG00000183137 ENSPTRG00000018480 ENSGGOG00000014982 ENSPPYG00000016901 ENSMMUG00000012241
ENSG00000114416 ENSPTRG00000015656 ENSGGOG00000009957 ENSPPYG00000014327 ENSMMUG00000012105
ENSG00000166902 ENSPTRG00000003700 ENSGGOG00000015703 ENSPPYG00000003227 ENSMMUG00000022321
ENSG00000176153 ENSPTRG00000006445 ENSGGOG00000006616 ENSPPYG00000005907 ENSMMUG00000021987
ENSG00000068878 ENSPTRG00000011920 ENSGGOG00000005258 ENSPPYG00000012412 ENSMMUG00000008104
ENSG00000173406 ENSPTRG00000000793 ENSGGOG00000024836 ENSPPYG00000001299 ENSMMUG00000022995
ENSG00000137251 ENSPTRG00000018295 ENSGGOG00000002367 ENSPPYG00000016728 ENSMMUG00000012784
ENSG00000187498 ENSPTRG00000006031 ENSGGOG00000012523 ENSPPYG00000005496 ENSMMUG00000022280
ENSG00000120798 ENSPTRG00000005307 ENSGGOG00000012884 ENSPPYG00000004840 ENSMMUG00000018898
ENSG00000120156 ENSPTRG00000020835 ENSGGOG00000015924 ENSPPYG00000019158 ENSMMUG00000006080
ENSG00000156509 ENSPTRG00000020469 ENSGGOG00000000296 ENSPPYG00000018785 ENSMMUG00000004384
ENSG00000214517 ENSPTRG00000004061 ENSGGOG00000000347 ENSPPYG00000003671 ENSMMUG00000017398
ENSG00000114120 ENSPTRG00000015467 ENSGGOG00000024554 ENSPPYG00000014161 ENSMMUG00000022153
ENSG00000179218 ENSPTRG00000010551 ENSGGOG00000016129 ENSPPYG00000009616 ENSMMUG00000004392
ENSG00000110887 ENSPTRG00000005411 ENSGGOG00000013247 ENSPPYG00000004925 ENSMMUG00000006893
ENSG00000136891 ENSPTRG00000021192 ENSGGOG00000001878 ENSPPYG00000019446 ENSMMUG00000001526
ENSG00000118985 ENSPTRG00000017090 ENSGGOG00000000216 ENSPPYG00000015647 ENSMMUG00000020155
ENSG00000108375 ENSPTRG00000034322 ENSGGOG00000007236 ENSPPYG00000008232 ENSMMUG00000007004
ENSG00000136628 ENSPTRG00000001995 ENSGGOG00000012404 ENSPPYG00000000210 ENSMMUG00000008722
ENSG00000151702 ENSPTRG00000004467 ENSGGOG00000000452 ENSPPYG00000004052 ENSMMUG00000003141
ENSG00000127838 ENSPTRG00000012914 ENSGGOG00000006892 ENSPPYG00000013167 ENSMMUG00000022819
ENSG00000182272 ENSPTRG00000003113 ENSGGOG00000003798 ENSPPYG00000002861 ENSMMUG00000021723
ENSG00000175482 ENSPTRG00000003950 ENSGGOG00000016028 ENSPPYG00000002997 ENSMMUG00000004523
ENSG00000115263 ENSPTRG00000012580 ENSGGOG00000001777 ENSPPYG00000012885 ENSMMUG00000003198
ENSG00000170677 ENSPTRG00000010105 ENSGGOG00000023191 ENSPPYG00000009234 ENSMMUG00000012610
ENSG00000244045 ENSPTRG00000008914 ENSGGOG00000004585 ENSPPYG00000008090 ENSMMUG00000021351
ENSG00000095637 ENSPTRG00000002784 ENSGGOG00000010457 ENSPPYG00000002508 ENSMMUG00000004818
ENSG00000105479 ENSPTRG00000011229 ENSGGOG00000001249 ENSPPYG00000010193 ENSMMUG00000004845
ENSG00000205857 ENSPTRG00000029808 ENSGGOG00000026302 ENSPPYG00000004232 ENSMMUG00000032159
ENSG00000187815 ENSPTRG00000000591 ENSGGOG00000006972 ENSPPYG00000001488 ENSMMUG00000016199
ENSG00000174851 ENSPTRG00000003917 ENSGGOG00000009765 ENSPPYG00000003029 ENSMMUG00000001403
ENSG00000158825 ENSPTRG00000000290 ENSGGOG00000004033 ENSPPYG00000001771 ENSMMUG00000001498
ENSG00000081870 ENSPTRG00000000762 ENSGGOG00000010685 ENSPPYG00000001328 ENSMMUG00000001416
ENSG00000197956 ENSPTRG00000001351 ENSGGOG00000007245 ENSPPYG00000000810 ENSMMUG00000008917
ENSG00000162241 ENSPTRG00000003874 ENSGGOG00000014767 ENSPPYG00000003067 ENSMMUG00000023297
ENSG00000198471 ENSPTRG00000023089 ENSGGOG00000003127 ENSPPYG00000014394 ENSMMUG00000000851
ENSG00000130703 ENSPTRG00000013703 ENSGGOG00000008445 ENSPPYG00000011201 ENSMMUG00000012623
ENSG00000102996 ENSPTRG00000008173 ENSGGOG00000000025 ENSPPYG00000007402 ENSMMUG00000007052
ENSG00000124155 ENSPTRG00000013547 ENSGGOG00000004168 ENSPPYG00000011057 ENSMMUG00000003410
ENSG00000184471 ENSPTRG00000007577 ENSGGOG00000027309 ENSPPYG00000006940 ENSMMUG00000001688
ENSG00000144909 ENSPTRG00000015321 ENSGGOG00000007521 ENSPPYG00000013460 ENSMMUG00000017125
ENSG00000165025 ENSPTRG00000021098 ENSGGOG00000010377 ENSPPYG00000019366 ENSMMUG00000001748
ENSG00000146399 ENSPTRG00000018612 ENSGGOG00000027671 ENSPPYG00000017016 ENSMMUG00000015088
ENSG00000131375 ENSPTRG00000014661 ENSGGOG00000025671 ENSPPYG00000014092 ENSMMUG00000006658
ENSG00000152932 ENSPTRG00000016898 ENSGGOG00000013532 ENSPPYG00000015485 ENSMMUG00000005181
ENSG00000137171 ENSPTRG00000018187 ENSGGOG00000010558 ENSPPYG00000016631 ENSMMUG00000011668
ENSG00000091140 ENSPTRG00000019585 ENSGGOG00000002567 ENSPPYG00000017906 ENSMMUG00000006564
ENSG00000171425 ENSPTRG00000033802 ENSGGOG00000015656 ENSPPYG00000010427 ENSMMUG00000004805
ENSG00000169918 ENSPTRG00000006863 ENSGGOG00000008369 ENSPPYG00000006293 ENSMMUG00000012838
ENSG00000166881 ENSPTRG00000005119 ENSGGOG00000013143 ENSPPYG00000004678 ENSMMUG00000019783
ENSG00000152127 ENSPTRG00000012485 ENSGGOG00000003032 ENSPPYG00000012808 ENSMMUG00000010563
ENSG00000125846 ENSPTRG00000013283 ENSGGOG00000015151 ENSPPYG00000010734 ENSMMUG00000014453
ENSG00000164707 ENSPTRG00000019729 ENSGGOG00000000373 ENSPPYG00000018029 ENSMMUG00000016386
ENSG00000173482 ENSPTRG00000009851 ENSGGOG00000003702 ENSPPYG00000009016 ENSMMUG00000000768
ENSG00000118600 ENSPTRG00000005169 ENSGGOG00000000706 ENSPPYG00000004722 ENSMMUG00000011561
ENSG00000206190 ENSPTRG00000030356 ENSGGOG00000001775 ENSPPYG00000006273 ENSMMUG00000017641
ENSG00000141527 ENSPTRG00000009738 ENSGGOG00000002366 ENSPPYG00000008715 ENSMMUG00000002842
ENSG00000168268 ENSPTRG00000015004 ENSGGOG00000015984 ENSPPYG00000013803 ENSMMUG00000017360
ENSG00000144659 ENSPTRG00000014772 ENSGGOG00000013530 ENSPPYG00000013994 ENSMMUG00000022963
ENSG00000184716 ENSPTRG00000007005 ENSGGOG00000014797 ENSPPYG00000006425 ENSMMUG00000022770
ENSG00000187997 ENSPTRG00000009702 ENSGGOG00000007017 ENSPPYG00000008683 ENSMMUG00000021863
ENSG00000204287 ENSPTRG00000018016 ENSGGOG00000009861 ENSPPYG00000017234 ENSMMUG00000019258
