Human Chimpanzee Gorilla Orangutan Macaque Mouse Opossum Platypus Chicken
ENSG00000170166 ENSPTRG00000012671 ENSGGOG00000001345 ENSPPYG00000012962 ENSMMUG00000023506 ENSMUSG00000042464 ENSMODG00000009598 ENSOANG00000008617 ENSGALG00000023419
ENSG00000118263 ENSPTRG00000012850 ENSGGOG00000009338 ENSPPYG00000013114 ENSMMUG00000000190 ENSMUSG00000025959 ENSMODG00000015982 ENSOANG00000009359 ENSGALG00000008501
ENSG00000105583 ENSPTRG00000010531 ENSGGOG00000013381 ENSPPYG00000009598 ENSMMUG00000016866 ENSMUSG00000059355 ENSMODG00000006770 ENSOANG00000013178 ENSGALG00000007858
ENSG00000103540 ENSPTRG00000007834 ENSGGOG00000005644 ENSPPYG00000007149 ENSMMUG00000013334 ENSMUSG00000033904 ENSMODG00000006278 ENSOANG00000003217 ENSGALG00000006925
ENSG00000111110 ENSPTRG00000005165 ENSGGOG00000003829 ENSPPYG00000004720 ENSMMUG00000011952 ENSMUSG00000034613 ENSMODG00000014325 ENSOANG00000014788 ENSGALG00000009805
ENSG00000078596 ENSPTRG00000022057 ENSGGOG00000026998 ENSPPYG00000020503 ENSMMUG00000003564 ENSMUSG00000031239 ENSMODG00000004233 ENSOANG00000007068 ENSGALG00000004107
ENSG00000187796 ENSPTRG00000021551 ENSGGOG00000010874 ENSPPYG00000019770 ENSMMUG00000003084 ENSMUSG00000026928 ENSMODG00000017562 ENSOANG00000000626 ENSGALG00000001889
ENSG00000204634 ENSPTRG00000030399 ENSGGOG00000005459 ENSPPYG00000012102 ENSMMUG00000009874 ENSMUSG00000003134 ENSMODG00000001724 ENSOANG00000004625 ENSGALG00000016776
ENSG00000151746 ENSPTRG00000004815 ENSGGOG00000016457 ENSPPYG00000004403 ENSMMUG00000007395 ENSMUSG00000003452 ENSMODG00000012717 ENSOANG00000009743 ENSGALG00000012934
ENSG00000135773 ENSPTRG00000002097 ENSGGOG00000012858 ENSPPYG00000000119 ENSMMUG00000005882 ENSMUSG00000031981 ENSMODG00000009241 ENSOANG00000013738 ENSGALG00000011136
ENSG00000104408 ENSPTRG00000020505 ENSGGOG00000022955 ENSPPYG00000018819 ENSMMUG00000011359 ENSMUSG00000022336 ENSMODG00000005232 ENSOANG00000002269 ENSGALG00000016093
ENSG00000160224 ENSPTRG00000013974 ENSGGOG00000005672 ENSPPYG00000011482 ENSMMUG00000004168 ENSMUSG00000000731 ENSMODG00000011425 ENSOANG00000015583 ENSGALG00000001327
ENSG00000100426 ENSPTRG00000014522 ENSGGOG00000009913 ENSPPYG00000011967 ENSMMUG00000018833 ENSMUSG00000034333 ENSMODG00000025433 ENSOANG00000003993 ENSGALG00000008547
ENSG00000141425 ENSPTRG00000009974 ENSGGOG00000007369 ENSPPYG00000009111 ENSMMUG00000018777 ENSMUSG00000040446 ENSMODG00000000399 ENSOANG00000001746 ENSGALG00000013129
ENSG00000086717 ENSPTRG00000021714 ENSGGOG00000003393 ENSPPYG00000020168 ENSMMUG00000005066 ENSMUSG00000062168 ENSMODG00000017134 ENSOANG00000004036 ENSGALG00000016522
ENSG00000185736 ENSPTRG00000002241 ENSGGOG00000003165 ENSPPYG00000002042 ENSMMUG00000017120 ENSMUSG00000052551 ENSMODG00000006359 ENSOANG00000006089 ENSGALG00000006797
ENSG00000106511 ENSPTRG00000018946 ENSGGOG00000006252 ENSPPYG00000017769 ENSMMUG00000004976 ENSMUSG00000036144 ENSMODG00000001656 ENSOANG00000004095 ENSGALG00000010794
ENSG00000170881 ENSPTRG00000020567 ENSGGOG00000000693 ENSPPYG00000018867 ENSMMUG00000015491 ENSMUSG00000037075 ENSMODG00000001847 ENSOANG00000014087 ENSGALG00000016338
ENSG00000101290 ENSPTRG00000013223 ENSGGOG00000012340 ENSPPYG00000010794 ENSMMUG00000013261 ENSMUSG00000058793 ENSMODG00000011674 ENSOANG00000019761 ENSGALG00000000165
ENSG00000151067 ENSPTRG00000004526 ENSGGOG00000002738 ENSPPYG00000004147 ENSMMUG00000012988 ENSMUSG00000051331 ENSMODG00000018433 ENSOANG00000015362 ENSGALG00000013022
ENSG00000177225 ENSPTRG00000003133 ENSGGOG00000010750 ENSPPYG00000002881 ENSMMUG00000007511 ENSMUSG00000051007 ENSMODG00000019666 ENSOANG00000009139 ENSGALG00000005133
ENSG00000102890 ENSPTRG00000008220 ENSGGOG00000011935 ENSPPYG00000007446 ENSMMUG00000020259 ENSMUSG00000014791 ENSMODG00000006128 ENSOANG00000015197 ENSGALG00000001759
ENSG00000174842 ENSPTRG00000000959 ENSGGOG00000006658 ENSPPYG00000001155 ENSMMUG00000010095 ENSMUSG00000029276 ENSMODG00000011826 ENSOANG00000013370 ENSGALG00000005959
ENSG00000173548 ENSPTRG00000007304 ENSGGOG00000015978 ENSPPYG00000006665 ENSMMUG00000016106 ENSMUSG00000032733 ENSMODG00000008837 ENSOANG00000005085 ENSGALG00000001675
ENSG00000131725 ENSPTRG00000033674 ENSGGOG00000003190 ENSPPYG00000020659 ENSMMUG00000011497 ENSMUSG00000036769 ENSMODG00000011281 ENSOANG00000000753 ENSGALG00000005997
ENSG00000155926 ENSPTRG00000020601 ENSGGOG00000013765 ENSPPYG00000018893 ENSMMUG00000010197 ENSMUSG00000022372 ENSMODG00000001164 ENSOANG00000010066 ENSGALG00000016234
ENSG00000109736 ENSPTRG00000015851 ENSGGOG00000007420 ENSPPYG00000014548 ENSMMUG00000008383 ENSMUSG00000001082 ENSMODG00000003757 ENSOANG00000001782 ENSGALG00000015652
ENSG00000111344 ENSPTRG00000005481 ENSGGOG00000010388 ENSPPYG00000004981 ENSMMUG00000021793 ENSMUSG00000029602 ENSMODG00000003383 ENSOANG00000004409 ENSGALG00000008150
ENSG00000146242 ENSPTRG00000018376 ENSGGOG00000004297 ENSPPYG00000016800 ENSMMUG00000005196 ENSMUSG00000035274 ENSMODG00000018403 ENSOANG00000001283 ENSGALG00000015861
ENSG00000151468 ENSPTRG00000002297 ENSGGOG00000015404 ENSPPYG00000002094 ENSMMUG00000007820 ENSMUSG00000026676 ENSMODG00000016837 ENSOANG00000015416 ENSGALG00000017722
ENSG00000116691 ENSPTRG00000000160 ENSGGOG00000000196 ENSPPYG00000001872 ENSMMUG00000032248 ENSMUSG00000029022 ENSMODG00000010745 ENSOANG00000019970 ENSGALG00000023653
ENSG00000124226 ENSPTRG00000013613 ENSGGOG00000028049 ENSPPYG00000011121 ENSMMUG00000000757 ENSMUSG00000006418 ENSMODG00000016308 ENSOANG00000008682 ENSGALG00000008021
ENSG00000116729 ENSPTRG00000000845 ENSGGOG00000015460 ENSPPYG00000001251 ENSMMUG00000022908 ENSMUSG00000028173 ENSMODG00000000754 ENSOANG00000007764 ENSGALG00000011238
ENSG00000128266 ENSPTRG00000014135 ENSGGOG00000016405 ENSPPYG00000011618 ENSMMUG00000001776 ENSMUSG00000040009 ENSMODG00000010036 ENSOANG00000005379 ENSGALG00000006719
ENSG00000120697 ENSPTRG00000005789 ENSGGOG00000003094 ENSPPYG00000005286 ENSMMUG00000003585 ENSMUSG00000036632 ENSMODG00000010043 ENSOANG00000015498 ENSGALG00000017049
ENSG00000104671 ENSPTRG00000020134 ENSGGOG00000013074 ENSPPYG00000018486 ENSMMUG00000013735 ENSMUSG00000031516 ENSMODG00000019010 ENSOANG00000004843 ENSGALG00000010298
ENSG00000126821 ENSPTRG00000006428 ENSGGOG00000005161 ENSPPYG00000005893 ENSMMUG00000023556 ENSMUSG00000021054 ENSMODG00000009061 ENSOANG00000009100 ENSGALG00000011825
ENSG00000152942 ENSPTRG00000016950 ENSGGOG00000015549 ENSPPYG00000015528 ENSMMUG00000014881 ENSMUSG00000021635 ENSMODG00000019420 ENSOANG00000001617 ENSGALG00000015571
ENSG00000148690 ENSPTRG00000002770 ENSGGOG00000010770 ENSPPYG00000002495 ENSMMUG00000014715 ENSMUSG00000054237 ENSMODG00000005791 ENSOANG00000008963 ENSGALG00000006622
ENSG00000205363 ENSPTRG00000030242 ENSGGOG00000013937 ENSPPYG00000006627 ENSMMUG00000002334 ENSMUSG00000066607 ENSMODG00000025259 ENSOANG00000010445 ENSGALG00000001716
ENSG00000160294 ENSPTRG00000014019 ENSGGOG00000015716 ENSPPYG00000011532 ENSMMUG00000022331 ENSMUSG00000001150 ENSMODG00000008187 ENSOANG00000013563 ENSGALG00000004363
ENSG00000160967 ENSPTRG00000019531 ENSGGOG00000016960 ENSPPYG00000017452 ENSMMUG00000021461 ENSMUSG00000029705 ENSMODG00000013581 ENSOANG00000010906 ENSGALG00000001807
ENSG00000119943 ENSPTRG00000002824 ENSGGOG00000002504 ENSPPYG00000002547 ENSMMUG00000020603 ENSMUSG00000060224 ENSMODG00000003692 ENSOANG00000003471 ENSGALG00000007014
ENSG00000067369 ENSPTRG00000006994 ENSGGOG00000002588 ENSPPYG00000006414 ENSMMUG00000017078 ENSMUSG00000043909 ENSMODG00000017806 ENSOANG00000021844 ENSGALG00000008521
ENSG00000104660 ENSPTRG00000020132 ENSGGOG00000012811 ENSPPYG00000018484 ENSMMUG00000014144 ENSMUSG00000031513 ENSMODG00000019011 ENSOANG00000011277 ENSGALG00000024482
ENSG00000173578 ENSPTRG00000030255 ENSGGOG00000028177 ENSPPYG00000013938 ENSMMUG00000023584 ENSMUSG00000060509 ENSMODG00000024025 ENSOANG00000006789 ENSGALG00000011735
ENSG00000198727 ENSPTRG00000028129 ENSGGOG00000024015 ENSPPYG00000020974 ENSMMUG00000028670 ENSMUSG00000064370 ENSMODG00000021591 ENSOANG00000019359 ENSGALG00000018360
ENSG00000077549 ENSPTRG00000000268 ENSGGOG00000003982 ENSPPYG00000001789 ENSMMUG00000006894 ENSMUSG00000028745 ENSMODG00000015888 ENSOANG00000015343 ENSGALG00000004034
ENSG00000126249 ENSPTRG00000010817 ENSGGOG00000022933 ENSPPYG00000009836 ENSMMUG00000005883 ENSMUSG00000002635 ENSMODG00000011939 ENSOANG00000009573 ENSGALG00000005010
ENSG00000204033 ENSPTRG00000029854 ENSGGOG00000012781 ENSPPYG00000002277 ENSMMUG00000000659 ENSMUSG00000043418 ENSMODG00000001718 ENSOANG00000014861 ENSGALG00000002307
ENSG00000175274 ENSPTRG00000003532 ENSGGOG00000006941 ENSPPYG00000003334 ENSMMUG00000000369 ENSMUSG00000068735 ENSMODG00000019873 ENSOANG00000003201 ENSGALG00000014069
ENSG00000148602 ENSPTRG00000002694 ENSGGOG00000012795 ENSPPYG00000002276 ENSMMUG00000000660 ENSMUSG00000041044 ENSMODG00000001729 ENSOANG00000013225 ENSGALG00000002303
ENSG00000162599 ENSPTRG00000000802 ENSGGOG00000027445 ENSPPYG00000001290 ENSMMUG00000013840 ENSMUSG00000028565 ENSMODG00000002475 ENSOANG00000013443 ENSGALG00000010924
ENSG00000031698 ENSPTRG00000001043 ENSGGOG00000001752 ENSPPYG00000001080 ENSMMUG00000021837 ENSMUSG00000068739 ENSMODG00000002154 ENSOANG00000009192 ENSGALG00000000536
ENSG00000187688 ENSPTRG00000008812 ENSGGOG00000000273 ENSPPYG00000008017 ENSMMUG00000015614 ENSMUSG00000018507 ENSMODG00000011239 ENSOANG00000012689 ENSGALG00000004519
ENSG00000103034 ENSPTRG00000008181 ENSGGOG00000009535 ENSPPYG00000007408 ENSMMUG00000014618 ENSMUSG00000036564 ENSMODG00000014164 ENSOANG00000012111 ENSGALG00000000874
ENSG00000188895 ENSPTRG00000009114 ENSGGOG00000011859 ENSPPYG00000008468 ENSMMUG00000022315 ENSMUSG00000052915 ENSMODG00000013039 ENSOANG00000010815 ENSGALG00000013507
ENSG00000164930 ENSPTRG00000020490 ENSGGOG00000015768 ENSPPYG00000018806 ENSMMUG00000019399 ENSMUSG00000022297 ENSMODG00000005621 ENSOANG00000008078 ENSGALG00000016069
ENSG00000122042 ENSPTRG00000005751 ENSGGOG00000023146 ENSPPYG00000005251 ENSMMUG00000003771 ENSMUSG00000001687 ENSMODG00000009207 ENSOANG00000009075 ENSGALG00000017084
ENSG00000118503 ENSPTRG00000018644 ENSGGOG00000003334 ENSPPYG00000017042 ENSMMUG00000008869 ENSMUSG00000019850 ENSMODG00000017417 ENSOANG00000014797 ENSGALG00000013861
ENSG00000079102 ENSPTRG00000020416 ENSGGOG00000002874 ENSPPYG00000018741 ENSMMUG00000023115 ENSMUSG00000006586 ENSMODG00000007500 ENSOANG00000001913 ENSGALG00000015926
ENSG00000136897 ENSPTRG00000021199 ENSGGOG00000009431 ENSPPYG00000019451 ENSMMUG00000023794 ENSMUSG00000044018 ENSMODG00000022960 ENSOANG00000004770 ENSGALG00000015543
ENSG00000168610 ENSPTRG00000009200 ENSGGOG00000017110 ENSPPYG00000008392 ENSMMUG00000010707 ENSMUSG00000004040 ENSMODG00000014853 ENSOANG00000020401 ENSGALG00000003267
ENSG00000185619 ENSPTRG00000015813 ENSGGOG00000008926 ENSPPYG00000014508 ENSMMUG00000012624 ENSMUSG00000033623 ENSMODG00000005677 ENSOANG00000006514 ENSGALG00000015333
ENSG00000155561 ENSPTRG00000019728 ENSGGOG00000011519 ENSPPYG00000018027 ENSMMUG00000016384 ENSMUSG00000038759 ENSMODG00000014060 ENSOANG00000005007 ENSGALG00000011662
ENSG00000167508 ENSPTRG00000008459 ENSGGOG00000012548 ENSPPYG00000007642 ENSMMUG00000014326 ENSMUSG00000006517 ENSMODG00000004189 ENSOANG00000011366 ENSGALG00000007267
ENSG00000136244 ENSPTRG00000018979 ENSGGOG00000005335 ENSPPYG00000017740 ENSMMUG00000019983 ENSMUSG00000025746 ENSMODG00000001265 ENSOANG00000022300 ENSGALG00000010915
ENSG00000164330 ENSPTRG00000017477 ENSGGOG00000000033 ENSPPYG00000015995 ENSMMUG00000021696 ENSMUSG00000057098 ENSMODG00000008198 ENSOANG00000012338 ENSGALG00000003699
ENSG00000141295 ENSPTRG00000009339 ENSGGOG00000004547 ENSPPYG00000008883 ENSMMUG00000003012 ENSMUSG00000020877 ENSMODG00000012467 ENSOANG00000001540 ENSGALG00000011945
ENSG00000154342 ENSPTRG00000002064 ENSGGOG00000006562 ENSPPYG00000000150 ENSMMUG00000004904 ENSMUSG00000009900 ENSMODG00000013810 ENSOANG00000003733 ENSGALG00000005396
ENSG00000164638 ENSPTRG00000018884 ENSGGOG00000011862 ENSPPYG00000017331 ENSMMUG00000008219 ENSMUSG00000050822 ENSMODG00000000979 ENSOANG00000006568 ENSGALG00000010497
ENSG00000166147 ENSPTRG00000007046 ENSGGOG00000003292 ENSPPYG00000006455 ENSMMUG00000004239 ENSMUSG00000027204 ENSMODG00000002675 ENSOANG00000012937 ENSGALG00000004960
ENSG00000165716 ENSPTRG00000021565 ENSGGOG00000016071 ENSPPYG00000019781 ENSMMUG00000032136 ENSMUSG00000036186 ENSMODG00000017604 ENSOANG00000005830 ENSGALG00000002437
ENSG00000177425 ENSPTRG00000005250 ENSGGOG00000010093 ENSPPYG00000004795 ENSMMUG00000015179 ENSMUSG00000035873 ENSMODG00000020468 ENSOANG00000004728 ENSGALG00000010320
ENSG00000107186 ENSPTRG00000020776 ENSGGOG00000005514 ENSPPYG00000019216 ENSMMUG00000019388 ENSMUSG00000028402 ENSMODG00000015042 ENSOANG00000013531 ENSGALG00000005846
ENSG00000136816 ENSPTRG00000023109 ENSGGOG00000013351 ENSPPYG00000019683 ENSMMUG00000003793 ENSMUSG00000026848 ENSMODG00000006789 ENSOANG00000002550 ENSGALG00000004180
ENSG00000129159 ENSPTRG00000003407 ENSGGOG00000015717 ENSPPYG00000003448 ENSMMUG00000006403 ENSMUSG00000058975 ENSMODG00000006734 ENSOANG00000003052 ENSGALG00000006220
ENSG00000036565 ENSPTRG00000020039 ENSGGOG00000003882 ENSPPYG00000018402 ENSMMUG00000019999 ENSMUSG00000036330 ENSMODG00000009840 ENSOANG00000010571 ENSGALG00000001693
ENSG00000099860 ENSPTRG00000024024 ENSGGOG00000028478 ENSPPYG00000009354 ENSMMUG00000003468 ENSMUSG00000015312 ENSMODG00000004843 ENSOANG00000013858 ENSGALG00000000212
ENSG00000114745 ENSPTRG00000014766 ENSGGOG00000024764 ENSPPYG00000014000 ENSMMUG00000020144 ENSMUSG00000032513 ENSMODG00000013443 ENSOANG00000009845 ENSGALG00000006033
ENSG00000139304 ENSPTRG00000005259 ENSGGOG00000011494 ENSPPYG00000004798 ENSMMUG00000011664 ENSMUSG00000035916 ENSMODG00000020476 ENSOANG00000004855 ENSGALG00000010935
ENSG00000197969 ENSPTRG00000021041 ENSGGOG00000022591 ENSPPYG00000019309 ENSMMUG00000019754 ENSMUSG00000046230 ENSMODG00000012902 ENSOANG00000003028 ENSGALG00000015170
ENSG00000164603 ENSPTRG00000019605 ENSGGOG00000027197 ENSPPYG00000017921 ENSMMUG00000015547 ENSMUSG00000042742 ENSMODG00000015894 ENSOANG00000003544 ENSGALG00000009440
ENSG00000117676 ENSPTRG00000000387 ENSGGOG00000002930 ENSPPYG00000001681 ENSMMUG00000022111 ENSMUSG00000003644 ENSMODG00000014283 ENSOANG00000015078 ENSGALG00000000366
ENSG00000146535 ENSPTRG00000018870 ENSGGOG00000009488 ENSPPYG00000017322 ENSMMUG00000006460 ENSMUSG00000000149 ENSMODG00000000192 ENSOANG00000004326 ENSGALG00000004368
ENSG00000143786 ENSPTRG00000002027 ENSGGOG00000000242 ENSPPYG00000000181 ENSMMUG00000010335 ENSMUSG00000026514 ENSMODG00000005244 ENSOANG00000001460 ENSGALG00000009308
ENSG00000239305 ENSPTRG00000012157 ENSGGOG00000006961 ENSPPYG00000012210 ENSMMUG00000015778 ENSMUSG00000052656 ENSMODG00000009480 ENSOANG00000010359 ENSGALG00000015809
ENSG00000126218 ENSPTRG00000006050 ENSGGOG00000014085 ENSPPYG00000005520 ENSMMUG00000001038 ENSMUSG00000031444 ENSMODG00000003988 ENSOANG00000015639 ENSGALG00000019132
ENSG00000144040 ENSPTRG00000012056 ENSGGOG00000005256 ENSPPYG00000012302 ENSMMUG00000002300 ENSMUSG00000033720 ENSMODG00000019174 ENSOANG00000021070 ENSGALG00000016094
ENSG00000158458 ENSPTRG00000017306 ENSGGOG00000008570 ENSPPYG00000015847 ENSMMUG00000010301 ENSMUSG00000060275 ENSMODG00000011737 ENSOANG00000000837 ENSGALG00000000917
ENSG00000134242 ENSPTRG00000001125 ENSGGOG00000003849 ENSPPYG00000001008 ENSMMUG00000006786 ENSMUSG00000027843 ENSMODG00000000719 ENSOANG00000002998 ENSGALG00000021656
ENSG00000154229 ENSPTRG00000009557 ENSGGOG00000015929 ENSPPYG00000008557 ENSMMUG00000018378 ENSMUSG00000050965 ENSMODG00000004147 ENSOANG00000008060 ENSGALG00000003943
ENSG00000138459 ENSPTRG00000015221 ENSGGOG00000023704 ENSPPYG00000013547 ENSMMUG00000014236 ENSMUSG00000022664 ENSMODG00000018114 ENSOANG00000005250 ENSGALG00000015197
ENSG00000163870 ENSPTRG00000015344 ENSGGOG00000010008 ENSPPYG00000013444 ENSMMUG00000000756 ENSMUSG00000002871 ENSMODG00000007864 ENSOANG00000003056 ENSGALG00000006047
ENSG00000149231 ENSPTRG00000004198 ENSGGOG00000016752 ENSPPYG00000003795 ENSMMUG00000007999 ENSMUSG00000079084 ENSMODG00000000097 ENSOANG00000010497 ENSGALG00000013489
ENSG00000108474 ENSPTRG00000008809 ENSGGOG00000002753 ENSPPYG00000008014 ENSMMUG00000030296 ENSMUSG00000014245 ENSMODG00000011208 ENSOANG00000012686 ENSGALG00000004492
ENSG00000182732 ENSPTRG00000006504 ENSGGOG00000007256 ENSPPYG00000005962 ENSMMUG00000001820 ENSMUSG00000021219 ENSMODG00000007000 ENSOANG00000004085 ENSGALG00000009368
ENSG00000198586 ENSPTRG00000022865 ENSGGOG00000013405 ENSPPYG00000012926 ENSMMUG00000011189 ENSMUSG00000041997 ENSMODG00000008652 ENSOANG00000008569 ENSGALG00000009569
ENSG00000184787 ENSPTRG00000013990 ENSGGOG00000004130 ENSPPYG00000011502 ENSMMUG00000006759 ENSMUSG00000009293 ENSMODG00000003406 ENSOANG00000015568 ENSGALG00000005667
ENSG00000169379 ENSPTRG00000015129 ENSGGOG00000003567 ENSPPYG00000013629 ENSMMUG00000020335 ENSMUSG00000022911 ENSMODG00000016988 ENSOANG00000000482 ENSGALG00000015412
ENSG00000214517 ENSPTRG00000004061 ENSGGOG00000000347 ENSPPYG00000003671 ENSMMUG00000017398 ENSMUSG00000030718 ENSMODG00000007418 ENSOANG00000006333 ENSGALG00000017312
ENSG00000104549 ENSPTRG00000020572 ENSGGOG00000007317 ENSPPYG00000018872 ENSMMUG00000003535 ENSMUSG00000022351 ENSMODG00000001811 ENSOANG00000014091 ENSGALG00000016331
ENSG00000215367 ENSPTRG00000034089 ENSGGOG00000007686 ENSPPYG00000014518 ENSMMUG00000015509 ENSMUSG00000004821 ENSMODG00000004399 ENSOANG00000000241 ENSGALG00000015722
ENSG00000160055 ENSPTRG00000000475 ENSGGOG00000001578 ENSPPYG00000001599 ENSMMUG00000008453 ENSMUSG00000028797 ENSMODG00000017483 ENSOANG00000009739 ENSGALG00000021613
ENSG00000153060 ENSPTRG00000007757 ENSGGOG00000007033 ENSPPYG00000007092 ENSMMUG00000019726 ENSMUSG00000039179 ENSMODG00000005259 ENSOANG00000007153 ENSGALG00000007257
ENSG00000101294 ENSPTRG00000013356 ENSGGOG00000000991 ENSPPYG00000010888 ENSMMUG00000005119 ENSMUSG00000019188 ENSMODG00000019497 ENSOANG00000002243 ENSGALG00000006207
ENSG00000124785 ENSPTRG00000017693 ENSGGOG00000005223 ENSPPYG00000016199 ENSMMUG00000010208 ENSMUSG00000039114 ENSMODG00000009842 ENSOANG00000002124 ENSGALG00000017397
ENSG00000135373 ENSPTRG00000003498 ENSGGOG00000006149 ENSPPYG00000003362 ENSMMUG00000005927 ENSMUSG00000012350 ENSMODG00000009989 ENSOANG00000007395 ENSGALG00000007817
ENSG00000100987 ENSPTRG00000013337 ENSGGOG00000001283 ENSPPYG00000010782 ENSMMUG00000020600 ENSMUSG00000033080 ENSMODG00000006351 ENSOANG00000006497 ENSGALG00000008568
ENSG00000177103 ENSPTRG00000004326 ENSGGOG00000006455 ENSPPYG00000003915 ENSMMUG00000007794 ENSMUSG00000032087 ENSMODG00000013655 ENSOANG00000005860 ENSGALG00000007314
ENSG00000138784 ENSPTRG00000016338 ENSGGOG00000011388 ENSPPYG00000014976 ENSMMUG00000004058 ENSMUSG00000056559 ENSMODG00000020630 ENSOANG00000010376 ENSGALG00000020214
ENSG00000130957 ENSPTRG00000021136 ENSGGOG00000005665 ENSPPYG00000019404 ENSMMUG00000022535 ENSMUSG00000021456 ENSMODG00000002818 ENSOANG00000007560 ENSGALG00000012612
ENSG00000173334 ENSPTRG00000020576 ENSGGOG00000005304 ENSPPYG00000018875 ENSMMUG00000021759 ENSMUSG00000032501 ENSMODG00000001741 ENSOANG00000008111 ENSGALG00000016311
ENSG00000138050 ENSPTRG00000011860 ENSGGOG00000001608 ENSPPYG00000012470 ENSMMUG00000011841 ENSMUSG00000024246 ENSMODG00000009129 ENSOANG00000004028 ENSGALG00000009119
ENSG00000151792 ENSPTRG00000016545 ENSGGOG00000016215 ENSPPYG00000015150 ENSMMUG00000022019 ENSMUSG00000028015 ENSMODG00000001694 ENSOANG00000015661 ENSGALG00000009373
ENSG00000196235 ENSPTRG00000010971 ENSGGOG00000014425 ENSPPYG00000009968 ENSMMUG00000019372 ENSMUSG00000003435 ENSMODG00000013570 ENSOANG00000008175 ENSGALG00000014301
ENSG00000009844 ENSPTRG00000018662 ENSGGOG00000015524 ENSPPYG00000017055 ENSMMUG00000023012 ENSMUSG00000019868 ENSMODG00000017279 ENSOANG00000005284 ENSGALG00000013810
ENSG00000197147 ENSPTRG00000022980 ENSGGOG00000006067 ENSPPYG00000001169 ENSMMUG00000017707 ENSMUSG00000070639 ENSMODG00000012079 ENSOANG00000007872 ENSGALG00000006167
ENSG00000198812 ENSPTRG00000022651 ENSGGOG00000026155 ENSPPYG00000004761 ENSMMUG00000010821 ENSMUSG00000060187 ENSMODG00000025136 ENSOANG00000005954 ENSGALG00000009976
ENSG00000112335 ENSPTRG00000018473 ENSGGOG00000011895 ENSPPYG00000016894 ENSMMUG00000020366 ENSMUSG00000019804 ENSMODG00000017999 ENSOANG00000000772 ENSGALG00000015304
ENSG00000046653 ENSPTRG00000021676 ENSGGOG00000014304 ENSPPYG00000020135 ENSMMUG00000019415 ENSMUSG00000031342 ENSMODG00000017304 ENSOANG00000002605 ENSGALG00000016575
ENSG00000138675 ENSPTRG00000016209 ENSGGOG00000002941 ENSPPYG00000014880 ENSMMUG00000009067 ENSMUSG00000029337 ENSMODG00000020788 ENSOANG00000003571 ENSGALG00000010893
ENSG00000163293 ENSPTRG00000016038 ENSGGOG00000009006 ENSPPYG00000014714 ENSMMUG00000018625 ENSMUSG00000067219 ENSMODG00000020624 ENSOANG00000005863 ENSGALG00000014134
ENSG00000111218 ENSPTRG00000004543 ENSGGOG00000010268 ENSPPYG00000004159 ENSMMUG00000014168 ENSMUSG00000030350 ENSMODG00000018329 ENSOANG00000005194 ENSGALG00000013272
ENSG00000152592 ENSPTRG00000016262 ENSGGOG00000026902 ENSPPYG00000014917 ENSMMUG00000011114 ENSMUSG00000029307 ENSMODG00000020734 ENSOANG00000013628 ENSGALG00000020195
ENSG00000110042 ENSPTRG00000003688 ENSGGOG00000012050 ENSPPYG00000003240 ENSMMUG00000010277 ENSMUSG00000039982 ENSMODG00000020182 ENSOANG00000000125 ENSGALG00000010835
ENSG00000108828 ENSPTRG00000009234 ENSGGOG00000008878 ENSPPYG00000008366 ENSMMUG00000016001 ENSMUSG00000034993 ENSMODG00000015136 ENSOANG00000012075 ENSGALG00000002818
ENSG00000140854 ENSPTRG00000008166 ENSGGOG00000007134 ENSPPYG00000007397 ENSMMUG00000015695 ENSMUSG00000031787 ENSMODG00000014037 ENSOANG00000004682 ENSGALG00000001041
ENSG00000130347 ENSPTRG00000018461 ENSGGOG00000008254 ENSPPYG00000016882 ENSMMUG00000008121 ENSMUSG00000019864 ENSMODG00000018024 ENSOANG00000003898 ENSGALG00000015343
ENSG00000087903 ENSPTRG00000010352 ENSGGOG00000009633 ENSPPYG00000009445 ENSMMUG00000011967 ENSMUSG00000024206 ENSMODG00000001398 ENSOANG00000003796 ENSGALG00000001773
ENSG00000105767 ENSPTRG00000011090 ENSGGOG00000009172 ENSPPYG00000010071 ENSMMUG00000004615 ENSMUSG00000054793 ENSMODG00000020835 ENSOANG00000011306 ENSGALG00000022042
ENSG00000145888 ENSPTRG00000017439 ENSGGOG00000014389 ENSPPYG00000015969 ENSMMUG00000014704 ENSMUSG00000000263 ENSMODG00000008959 ENSOANG00000005109 ENSGALG00000004134
ENSG00000117154 ENSPTRG00000000250 ENSGGOG00000009851 ENSPPYG00000001803 ENSMMUG00000023517 ENSMUSG00000040972 ENSMODG00000002553 ENSOANG00000002995 ENSGALG00000000426
ENSG00000132330 ENSPTRG00000013082 ENSGGOG00000000090 ENSPPYG00000013316 ENSMMUG00000018483 ENSMUSG00000026307 ENSMODG00000015913 ENSOANG00000015586 ENSGALG00000001295
ENSG00000020426 ENSPTRG00000006412 ENSGGOG00000009127 ENSPPYG00000005876 ENSMMUG00000001642 ENSMUSG00000021103 ENSMODG00000008657 ENSOANG00000009088 ENSGALG00000011910
ENSG00000174502 ENSPTRG00000001908 ENSGGOG00000012430 ENSPPYG00000000295 ENSMMUG00000014694 ENSMUSG00000042268 ENSMODG00000001887 ENSOANG00000013053 ENSGALG00000000745
