"Polygenic Score ID & Name","PGS Publication ID (PGP)","Reported Trait","Mapped Trait(s) (Ontology)","Number of Variants","Ancestry distribution","Scoring File (FTP Link)"
PGS000397(PRSWEB_PHECODE165.1_UKBB-SAIGE-HRC-X165.1_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Cancer of bronchus; lung","tracheal cancer,<br>bronchus cancer,<br>lung cancer","46,920",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000397/ScoringFiles/PGS000397.txt.gz
PGS000398(PRSWEB_PHECODE172_20001-1003_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Skin cancer","skin carcinoma","1,103,220",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000398/ScoringFiles/PGS000398.txt.gz
PGS000399(PRSWEB_PHECODE172_20001-1003_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Skin cancer","skin carcinoma",6,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000399/ScoringFiles/PGS000399.txt.gz
PGS000400(PRSWEB_PHECODE172_C3-SKIN_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Skin cancer","skin carcinoma",95,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000400/ScoringFiles/PGS000400.txt.gz
PGS000401(PRSWEB_PHECODE172_C3-SKIN_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Skin cancer","skin carcinoma","1,111,490",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000401/ScoringFiles/PGS000401.txt.gz
PGS000402(PRSWEB_PHECODE172_C3-SKIN_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Skin cancer","skin carcinoma",389,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000402/ScoringFiles/PGS000402.txt.gz
PGS000403(PRSWEB_PHECODE172_C3-SKIN_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Skin cancer","skin carcinoma","16,316",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000403/ScoringFiles/PGS000403.txt.gz
PGS000404(PRSWEB_PHECODE172_UKBB-SAIGE-HRC-X172_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Skin cancer","skin carcinoma",80,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000404/ScoringFiles/PGS000404.txt.gz
PGS000405(PRSWEB_PHECODE172_UKBB-SAIGE-HRC-X172_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Skin cancer","skin carcinoma","1,119,238",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000405/ScoringFiles/PGS000405.txt.gz
PGS000406(PRSWEB_PHECODE172_UKBB-SAIGE-HRC-X172_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Skin cancer","skin carcinoma",292,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000406/ScoringFiles/PGS000406.txt.gz
PGS000407(PRSWEB_PHECODE172_UKBB-SAIGE-HRC-X172_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Skin cancer","skin carcinoma","3,166",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000407/ScoringFiles/PGS000407.txt.gz
PGS000408(PRSWEB_PHECODE172.1_20001-1059_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,10,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000408/ScoringFiles/PGS000408.txt.gz
PGS000409(PRSWEB_PHECODE172.1_20001-1059_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,"1,111,490",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000409/ScoringFiles/PGS000409.txt.gz
PGS000410(PRSWEB_PHECODE172.1_20001-1059_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,7,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000410/ScoringFiles/PGS000410.txt.gz
PGS000411(PRSWEB_PHECODE172.1_20001-1059_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,185,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000411/ScoringFiles/PGS000411.txt.gz
PGS000412(PRSWEB_PHECODE172.1_C3-MELANOMA-SKIN_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,16,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000412/ScoringFiles/PGS000412.txt.gz
PGS000413(PRSWEB_PHECODE172.1_C3-MELANOMA-SKIN_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,"1,111,490",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000413/ScoringFiles/PGS000413.txt.gz
PGS000414(PRSWEB_PHECODE172.1_C3-MELANOMA-SKIN_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,21,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000414/ScoringFiles/PGS000414.txt.gz
PGS000415(PRSWEB_PHECODE172.1_C3-MELANOMA-SKIN_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,505,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000415/ScoringFiles/PGS000415.txt.gz
PGS000416(PRSWEB_PHECODE172.1_C43_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,9,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000416/ScoringFiles/PGS000416.txt.gz
PGS000417(PRSWEB_PHECODE172.1_C43_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,"1,109,519",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000417/ScoringFiles/PGS000417.txt.gz
PGS000418(PRSWEB_PHECODE172.1_C43_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,9,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000418/ScoringFiles/PGS000418.txt.gz
PGS000419(PRSWEB_PHECODE172.1_C43_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,436,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000419/ScoringFiles/PGS000419.txt.gz
PGS000420(PRSWEB_PHECODE172.1_D03_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,147,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000420/ScoringFiles/PGS000420.txt.gz
PGS000421(PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,18,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000421/ScoringFiles/PGS000421.txt.gz
PGS000422(PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,18,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000422/ScoringFiles/PGS000422.txt.gz
PGS000423(PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,29,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000423/ScoringFiles/PGS000423.txt.gz
PGS000424(PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,27,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000424/ScoringFiles/PGS000424.txt.gz
PGS000425(PRSWEB_PHECODE172.1_Melanoma-Ransohoff_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,20,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000425/ScoringFiles/PGS000425.txt.gz
PGS000426(PRSWEB_PHECODE172.1_Melanoma-Ransohoff_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,20,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000426/ScoringFiles/PGS000426.txt.gz
PGS000427(PRSWEB_PHECODE172.1_Melanoma-Ransohoff_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,20,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000427/ScoringFiles/PGS000427.txt.gz
PGS000428(PRSWEB_PHECODE172.1_Melanoma-Ransohoff_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,20,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000428/ScoringFiles/PGS000428.txt.gz
PGS000429(PRSWEB_PHECODE172.1_UKBB-SAIGE-HRC-X172.1_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,12,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000429/ScoringFiles/PGS000429.txt.gz
PGS000430(PRSWEB_PHECODE172.1_UKBB-SAIGE-HRC-X172.1_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,"1,119,238",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000430/ScoringFiles/PGS000430.txt.gz
PGS000431(PRSWEB_PHECODE172.1_UKBB-SAIGE-HRC-X172.1_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,15,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000431/ScoringFiles/PGS000431.txt.gz
PGS000432(PRSWEB_PHECODE172.1_UKBB-SAIGE-HRC-X172.1_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Melanomas of skin (diagnosis or history)",melanoma,296,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000432/ScoringFiles/PGS000432.txt.gz
PGS000433(PRSWEB_PHECODE172.2_C3-OTHER-SKIN_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Other non-epithelial cancer of skin","skin cancer",108,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000433/ScoringFiles/PGS000433.txt.gz
PGS000434(PRSWEB_PHECODE172.2_C3-OTHER-SKIN_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Other non-epithelial cancer of skin","skin cancer","1,111,490",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000434/ScoringFiles/PGS000434.txt.gz
PGS000435(PRSWEB_PHECODE172.2_C3-OTHER-SKIN_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Other non-epithelial cancer of skin","skin cancer",446,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000435/ScoringFiles/PGS000435.txt.gz
PGS000436(PRSWEB_PHECODE172.2_C3-OTHER-SKIN_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Other non-epithelial cancer of skin","skin cancer","16,626",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000436/ScoringFiles/PGS000436.txt.gz
PGS000437(PRSWEB_PHECODE172.2_C44_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Other non-epithelial cancer of skin","skin cancer",63,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000437/ScoringFiles/PGS000437.txt.gz
PGS000438(PRSWEB_PHECODE172.2_C44_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Other non-epithelial cancer of skin","skin cancer","1,111,490",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000438/ScoringFiles/PGS000438.txt.gz
PGS000439(PRSWEB_PHECODE172.2_C44_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Other non-epithelial cancer of skin","skin cancer",467,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000439/ScoringFiles/PGS000439.txt.gz
PGS000440(PRSWEB_PHECODE172.2_C44_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Other non-epithelial cancer of skin","skin cancer","2,111",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000440/ScoringFiles/PGS000440.txt.gz
PGS000441(PRSWEB_PHECODE172.2_UKBB-SAIGE-HRC-X172.2_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Other non-epithelial cancer of skin","skin cancer",77,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000441/ScoringFiles/PGS000441.txt.gz
PGS000442(PRSWEB_PHECODE172.2_UKBB-SAIGE-HRC-X172.2_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Other non-epithelial cancer of skin","skin cancer","1,119,238",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000442/ScoringFiles/PGS000442.txt.gz
PGS000443(PRSWEB_PHECODE172.2_UKBB-SAIGE-HRC-X172.2_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Other non-epithelial cancer of skin","skin cancer",177,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000443/ScoringFiles/PGS000443.txt.gz
PGS000444(PRSWEB_PHECODE172.2_UKBB-SAIGE-HRC-X172.2_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Other non-epithelial cancer of skin","skin cancer","7,231",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000444/ScoringFiles/PGS000444.txt.gz
PGS000445(PRSWEB_PHECODE172.21_20001-1061_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma",19,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000445/ScoringFiles/PGS000445.txt.gz
PGS000446(PRSWEB_PHECODE172.21_20001-1061_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma","1,111,490",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000446/ScoringFiles/PGS000446.txt.gz
PGS000447(PRSWEB_PHECODE172.21_20001-1061_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma",72,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000447/ScoringFiles/PGS000447.txt.gz
PGS000448(PRSWEB_PHECODE172.21_20001-1061_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma",183,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000448/ScoringFiles/PGS000448.txt.gz
PGS000449(PRSWEB_PHECODE172.21_20001-1073_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma","1,073,162",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000449/ScoringFiles/PGS000449.txt.gz
PGS000450(PRSWEB_PHECODE172.21_20001-1073_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma",8,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000450/ScoringFiles/PGS000450.txt.gz
PGS000451(PRSWEB_PHECODE172.21_20001-1073_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma","2,231",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000451/ScoringFiles/PGS000451.txt.gz
PGS000452(PRSWEB_PHECODE172.21_BCC-Chahal_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma",28,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000452/ScoringFiles/PGS000452.txt.gz
PGS000453(PRSWEB_PHECODE172.21_BCC-Chahal_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma",28,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000453/ScoringFiles/PGS000453.txt.gz
PGS000454(PRSWEB_PHECODE172.21_BCC-Chahal_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma",27,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000454/ScoringFiles/PGS000454.txt.gz
PGS000455(PRSWEB_PHECODE172.21_BCC-Chahal_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma",28,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000455/ScoringFiles/PGS000455.txt.gz
PGS000456(PRSWEB_PHECODE172.21_GWAS-Catalog-r2019-05-03-X172.21_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma",30,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000456/ScoringFiles/PGS000456.txt.gz
PGS000457(PRSWEB_PHECODE172.21_GWAS-Catalog-r2019-05-03-X172.21_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma",30,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000457/ScoringFiles/PGS000457.txt.gz
PGS000458(PRSWEB_PHECODE172.21_GWAS-Catalog-r2019-05-03-X172.21_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma",23,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000458/ScoringFiles/PGS000458.txt.gz
PGS000459(PRSWEB_PHECODE172.21_GWAS-Catalog-r2019-05-03-X172.21_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Basal cell carcinoma","basal cell carcinoma",24,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000459/ScoringFiles/PGS000459.txt.gz
PGS000460(PRSWEB_PHECODE172.22_20001-1062_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Squamous cell carcinoma","squamous cell carcinoma","4,279,140",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000460/ScoringFiles/PGS000460.txt.gz
PGS000461(PRSWEB_PHECODE172.22_GWAS-Catalog-r2019-05-03-X172.22_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Squamous cell carcinoma","squamous cell carcinoma",13,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000461/ScoringFiles/PGS000461.txt.gz
PGS000462(PRSWEB_PHECODE172.22_GWAS-Catalog-r2019-05-03-X172.22_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Squamous cell carcinoma","squamous cell carcinoma",13,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000462/ScoringFiles/PGS000462.txt.gz
PGS000463(PRSWEB_PHECODE172.22_GWAS-Catalog-r2019-05-03-X172.22_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Squamous cell carcinoma","squamous cell carcinoma",7,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000463/ScoringFiles/PGS000463.txt.gz
PGS000464(PRSWEB_PHECODE172.22_GWAS-Catalog-r2019-05-03-X172.22_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Squamous cell carcinoma","squamous cell carcinoma",14,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000464/ScoringFiles/PGS000464.txt.gz
PGS000465(PRSWEB_PHECODE172.22_cSCC-Chahal_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Squamous cell carcinoma","squamous cell carcinoma",10,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000465/ScoringFiles/PGS000465.txt.gz
PGS000466(PRSWEB_PHECODE172.22_cSCC-Chahal_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Squamous cell carcinoma","squamous cell carcinoma",10,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000466/ScoringFiles/PGS000466.txt.gz
PGS000467(PRSWEB_PHECODE172.22_cSCC-Chahal_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Squamous cell carcinoma","squamous cell carcinoma",6,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000467/ScoringFiles/PGS000467.txt.gz
PGS000468(PRSWEB_PHECODE172.22_cSCC-Chahal_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Squamous cell carcinoma","squamous cell carcinoma",9,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000468/ScoringFiles/PGS000468.txt.gz
PGS000469(PRSWEB_PHECODE172.3_UKBB-SAIGE-HRC-X172.3_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Carcinoma in situ of skin","skin carcinoma in situ","1,119,238",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000469/ScoringFiles/PGS000469.txt.gz
PGS000470(PRSWEB_PHECODE172.3_UKBB-SAIGE-HRC-X172.3_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Carcinoma in situ of skin","skin carcinoma in situ",5,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000470/ScoringFiles/PGS000470.txt.gz
PGS000471(PRSWEB_PHECODE172.3_UKBB-SAIGE-HRC-X172.3_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Carcinoma in situ of skin","skin carcinoma in situ",7,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000471/ScoringFiles/PGS000471.txt.gz
PGS000472(PRSWEB_PHECODE174.1_20001-1002_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",22,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000472/ScoringFiles/PGS000472.txt.gz
PGS000473(PRSWEB_PHECODE174.1_20001-1002_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,111,495",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000473/ScoringFiles/PGS000473.txt.gz
PGS000474(PRSWEB_PHECODE174.1_20001-1002_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",68,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000474/ScoringFiles/PGS000474.txt.gz
PGS000475(PRSWEB_PHECODE174.1_20001-1002_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","30,041",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000475/ScoringFiles/PGS000475.txt.gz
PGS000476(PRSWEB_PHECODE174.1_C3-BREAST-3_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",32,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000476/ScoringFiles/PGS000476.txt.gz
PGS000477(PRSWEB_PHECODE174.1_C3-BREAST-3_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,111,495",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000477/ScoringFiles/PGS000477.txt.gz
PGS000478(PRSWEB_PHECODE174.1_C3-BREAST-3_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",120,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000478/ScoringFiles/PGS000478.txt.gz
PGS000479(PRSWEB_PHECODE174.1_C3-BREAST-3_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","2,267",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000479/ScoringFiles/PGS000479.txt.gz
PGS000480(PRSWEB_PHECODE174.1_C50_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",20,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000480/ScoringFiles/PGS000480.txt.gz
